Time (s),Pressure (atm)
0.000376,0.010137923
0.000377,-0.009800853
0.000378,0.010137923
0.000379,0.030064453
0.00038,0.010137923
0.000381,-0.009800853
0.000382,0.010137923
0.000383,0.020097106
0.000384,-0.009800853
0.000385,0.020097106
0.000386,0.020097106
0.000387,-0.009800853
0.000388,0.010137923
0.000389,0.020097106
0.00039,0.010137923
0.000391,-0.009800853
0.000392,0.010137923
0.000393,0.010137923
0.000394,-0.009800853
0.000395,0.020097106
0.000396,0.020097106
0.000397,-0.009800853
0.000398,0.010137923
0.000399,0.030064453
0.0004,0.020097106
0.000401,-0.009800853
0.000402,0.010137923
0.000403,-0.009800853
0.000404,-0.009800853
0.000405,0.000178739
0.000406,0.030064453
0.000407,0.000178739
0.000408,0.010137923
0.000409,0.010137923
0.00041,0.020097106
0.000411,-0.009800853
0.000412,0.010137923
0.000413,0.020097106
0.000414,-0.009800853
0.000415,0.010137923
0.000416,0.020097106
0.000417,0.000178739
0.000418,-0.009800853
0.000419,0.020097106
0.00042,0.020097106
0.000421,-0.009800853
0.000422,0.010137923
0.000423,0.020097106
0.000424,-0.009800853
0.000425,0.000178739
0.000426,0.020097106
0.000427,-0.009800853
0.000428,-0.009800853
0.000429,0.010137923
0.00043,0.020097106
0.000431,-0.009800853
0.000432,-0.009800853
0.000433,0.020097106
0.000434,0.000178739
0.000435,-0.009800853
0.000436,0.030064453
0.000437,0.010137923
0.000438,-0.009800853
0.000439,0.010137923
0.00044,0.020097106
0.000441,0.010137923
0.000442,-0.009800853
0.000443,0.010137923
0.000444,0.010137923
0.000445,-0.009800853
0.000446,0.010137923
0.000447,0.010137923
0.000448,-0.009800853
0.000449,0.020097106
0.00045,0.020097106
0.000451,0.010137923
0.000452,-0.009800853
0.000453,0.010137923
0.000454,0.020097106
0.000455,-0.009800853
0.000456,0.020097106
0.000457,0.000178739
0.000458,-0.009800853
0.000459,-0.009800853
0.00046,0.020097106
0.000461,-0.009800853
0.000462,-0.009800853
0.000463,0.010137923
0.000464,-0.009800853
0.000465,-0.009800853
0.000466,0.010137923
0.000467,0.010137923
0.000468,-0.009800853
0.000469,0.000178739
0.00047,0.020097106
0.000471,0.010137923
0.000472,-0.009800853
0.000473,0.010137923
0.000474,0.010137923
0.000475,-0.009800853
0.000476,0.020097106
0.000477,0.010137923
0.000478,-0.009800853
0.000479,0.010137923
0.00048,0.010137923
0.000481,0.010137923
0.000482,-0.009800853
0.000483,0.010137923
0.000484,0.020097106
0.000485,-0.009800853
0.000486,0.010137923
0.000487,0.030064453
0.000488,0.000178739
0.000489,0.020097106
0.00049,0.010137923
0.000491,0.010137923
0.000492,-0.009800853
0.000493,-0.009800853
0.000494,0.020097106
0.000495,-0.009800853
0.000496,-0.009800853
0.000497,0.020097106
0.000498,-0.009800853
0.000499,0.000178739
0.0005,0.020097106
0.000501,0.030064453
0.000502,0.000178739
0.000503,0.010137923
0.000504,0.020097106
0.000505,-0.009800853
0.000506,-0.009800853
0.000507,0.030064453
0.000508,-0.009800853
0.000509,-0.009800853
0.00051,0.010137923
0.000511,0.020097106
0.000512,-0.009800853
0.000513,-0.009800853
0.000514,0.030064453
0.000515,-0.009800853
0.000516,0.010137923
0.000517,0.020097106
0.000518,-0.009800853
0.000519,-0.009800853
0.00052,0.010137923
0.000521,0.030064453
0.000522,0.000178739
0.000523,-0.009800853
0.000524,0.010137923
0.000525,-0.009800853
0.000526,0.000178739
0.000527,0.020097106
0.000528,0.010137923
0.000529,-0.009800853
0.00053,0.010137923
0.000531,0.030064453
0.000532,-0.009800853
0.000533,-0.009800853
0.000534,0.020097106
0.000535,0.010137923
0.000536,-0.009800853
0.000537,0.010137923
0.000538,0.010137923
0.000539,-0.009800853
0.00054,0.010137923
0.000541,0.020097106
0.000542,-0.009800853
0.000543,-0.009800853
0.000544,0.020097106
0.000545,-0.009800853
0.000546,-0.009800853
0.000547,0.020097106
0.000548,0.010137923
0.000549,-0.009800853
0.00055,0.010137923
0.000551,0.030064453
0.000552,-0.009800853
0.000553,-0.009800853
0.000554,0.010137923
0.000555,0.010137923
0.000556,-0.009800853
0.000557,0.010137923
0.000558,0.010137923
0.000559,0.010137923
0.00056,0.010137923
0.000561,0.030064453
0.000562,0.010137923
0.000563,-0.009800853
0.000564,0.000178739
0.000565,0.020097106
0.000566,-0.009800853
0.000567,0.020097106
0.000568,0.010137923
0.000569,-0.009800853
0.00057,-0.009800853
0.000571,0.020097106
0.000572,0.010137923
0.000573,-0.009800853
0.000574,0.010137923
0.000575,0.020097106
0.000576,-0.009800853
0.000577,0.010137923
0.000578,0.020097106
0.000579,-0.009800853
0.00058,0.000178739
0.000581,0.020097106
0.000582,0.010137923
0.000583,-0.009800853
0.000584,-0.009800853
0.000585,0.000178739
0.000586,-0.019760037
0.000587,0.000178739
0.000588,0.020097106
0.000589,-0.009800853
0.00059,-0.009800853
0.000591,0.020097106
0.000592,0.020097106
0.000593,-0.009800853
0.000594,-0.009800853
0.000595,0.010137923
0.000596,-0.009800853
0.000597,0.000178739
0.000598,0.020097106
0.000599,-0.009800853
0.0006,-0.009800853
0.000601,0.000178739
0.000602,0.020097106
0.000603,-0.009800853
0.000604,0.000178739
0.000605,0.020097106
0.000606,-0.009800853
0.000607,0.000178739
0.000608,0.020097106
0.000609,0.010137923
0.00061,-0.009800853
0.000611,0.020097106
0.000612,0.010137923
0.000613,-0.009800853
0.000614,-0.009800853
0.000615,0.010137923
0.000616,-0.009800853
0.000617,-0.009800853
0.000618,0.020097106
0.000619,-0.009800853
0.00062,-0.009800853
0.000621,0.010137923
0.000622,0.030064453
0.000623,0.000178739
0.000624,-0.009800853
0.000625,0.010137923
0.000626,-0.009800853
0.000627,-0.009800853
0.000628,0.020097106
0.000629,-0.009800853
0.00063,-0.009800853
0.000631,0.010137923
0.000632,0.030064453
0.000633,-0.009800853
0.000634,-0.009800853
0.000635,0.020097106
0.000636,0.000178739
0.000637,-0.009800853
0.000638,0.020097106
0.000639,0.010137923
0.00064,-0.009800853
0.000641,0.010137923
0.000642,0.030064453
0.000643,0.010137923
0.000644,-0.009800853
0.000645,0.010137923
0.000646,0.010137923
0.000647,-0.009800853
0.000648,0.010137923
0.000649,0.010137923
0.00065,-0.009800853
0.000651,0.000178739
0.000652,0.020097106
0.000653,0.010137923
0.000654,-0.009800853
0.000655,0.010137923
0.000656,0.020097106
0.000657,-0.009800853
0.000658,0.020097106
0.000659,0.010137923
0.00066,-0.009800853
0.000661,0.010137923
0.000662,0.020097106
0.000663,0.020097106
0.000664,-0.009800853
0.000665,0.010137923
0.000666,0.010137923
0.000667,-0.009800853
0.000668,0.010137923
0.000669,0.020097106
0.00067,-0.009800853
0.000671,-0.009800853
0.000672,0.020097106
0.000673,0.020097106
0.000674,-0.009800853
0.000675,0.010137923
0.000676,0.020097106
0.000677,-0.009800853
0.000678,0.010137923
0.000679,0.010137923
0.00068,-0.009800853
0.000681,-0.009800853
0.000682,0.010137923
0.000683,0.020097106
0.000684,-0.019760037
0.000685,0.010137923
0.000686,0.020097106
0.000687,-0.009800853
0.000688,0.010137923
0.000689,0.030064453
0.00069,0.010137923
0.000691,-0.009800853
0.000692,0.020097106
0.000693,0.020097106
0.000694,-0.009800853
0.000695,-0.009800853
0.000696,0.020097106
0.000697,-0.009800853
0.000698,-0.009800853
0.000699,0.030064453
0.0007,-0.009800853
0.000701,0.000178739
0.000702,0.020097106
0.000703,0.030064453
0.000704,-0.009800853
0.000705,0.000178739
0.000706,0.020097106
0.000707,-0.009800853
0.000708,0.000178739
0.000709,0.030064453
0.00071,0.010137923
0.000711,-0.009800853
0.000712,0.000178739
0.000713,0.020097106
0.000714,0.000178739
0.000715,-0.009800853
0.000716,0.020097106
0.000717,-0.009800853
0.000718,-0.009800853
0.000719,0.020097106
0.00072,0.020097106
0.000721,-0.009800853
0.000722,0.000178739
0.000723,0.030064453
0.000724,-0.009800853
0.000725,-0.009800853
0.000726,0.010137923
0.000727,-0.009800853
0.000728,-0.009800853
0.000729,0.010137923
0.00073,0.010137923
0.000731,-0.009800853
0.000732,-0.009800853
0.000733,0.020097106
0.000734,0.010137923
0.000735,-0.009800853
0.000736,0.010137923
0.000737,0.020097106
0.000738,-0.009800853
0.000739,0.020097106
0.00074,0.010137923
0.000741,-0.009800853
0.000742,-0.009800853
0.000743,0.020097106
0.000744,0.000178739
0.000745,-0.009800853
0.000746,0.010137923
0.000747,0.010137923
0.000748,-0.009800853
0.000749,0.010137923
0.00075,0.020097106
0.000751,-0.009800853
0.000752,0.010137923
0.000753,0.020097106
0.000754,0.020097106
0.000755,-0.009800853
0.000756,0.010137923
0.000757,0.020097106
0.000758,-0.009800853
0.000759,0.010137923
0.00076,0.020097106
0.000761,-0.009800853
0.000762,0.010137923
0.000763,0.020097106
0.000764,0.030064453
0.000765,-0.009800853
0.000766,0.010137923
0.000767,0.010137923
0.000768,-0.009800853
0.000769,0.000178739
0.00077,0.020097106
0.000771,0.000178739
0.000772,-0.009800853
0.000773,0.020097106
0.000774,0.020097106
0.000775,-0.009800853
0.000776,-0.009800853
0.000777,0.020097106
0.000778,-0.009800853
0.000779,0.000178739
0.00078,0.030064453
0.000781,0.010137923
0.000782,-0.009800853
0.000783,0.010137923
0.000784,0.020097106
0.000785,-0.009800853
0.000786,0.010137923
0.000787,0.020097106
0.000788,-0.009800853
0.000789,-0.009800853
0.00079,0.020097106
0.000791,0.000178739
0.000792,-0.009800853
0.000793,0.010137923
0.000794,0.020097106
0.000795,-0.009800853
0.000796,-0.009800853
0.000797,0.020097106
0.000798,0.010137923
0.000799,-0.009800853
0.0008,0.010137923
0.000801,0.010137923
0.000802,-0.009800853
0.000803,-0.009800853
0.000804,0.020097106
0.000805,0.000178739
0.000806,-0.009800853
0.000807,0.020097106
0.000808,0.000178739
0.000809,-0.009800853
0.00081,0.010137923
0.000811,0.010137923
0.000812,-0.009800853
0.000813,0.000178739
0.000814,0.030064453
0.000815,0.010137923
0.000816,-0.009800853
0.000817,0.010137923
0.000818,-0.009800853
0.000819,-0.009800853
0.00082,0.020097106
0.000821,0.010137923
0.000822,-0.009800853
0.000823,0.000178739
0.000824,0.020097106
0.000825,0.010137923
0.000826,-0.009800853
0.000827,0.010137923
0.000828,0.010137923
0.000829,-0.009800853
0.00083,0.010137923
0.000831,0.020097106
0.000832,-0.009800853
0.000833,-0.009800853
0.000834,0.020097106
0.000835,0.020097106
0.000836,-0.009800853
0.000837,0.010137923
0.000838,0.020097106
0.000839,-0.009800853
0.00084,0.020097106
0.000841,0.010137923
0.000842,-0.009800853
0.000843,-0.009800853
0.000844,0.020097106
0.000845,0.010137923
0.000846,-0.009800853
0.000847,0.010137923
0.000848,0.030064453
0.000849,-0.009800853
0.00085,0.010137923
0.000851,0.020097106
0.000852,-0.009800853
0.000853,0.000178739
0.000854,0.010137923
0.000855,0.020097106
0.000856,-0.009800853
0.000857,-0.009800853
0.000858,0.020097106
0.000859,-0.009800853
0.00086,-0.009800853
0.000861,0.030064453
0.000862,-0.009800853
0.000863,0.010137923
0.000864,-0.009800853
0.000865,0.020097106
0.000866,-0.009800853
0.000867,0.010137923
0.000868,0.020097106
0.000869,-0.009800853
0.00087,0.010137923
0.000871,0.010137923
0.000872,-0.009800853
0.000873,-0.009800853
0.000874,0.010137923
0.000875,0.030064453
0.000876,-0.009800853
0.000877,-0.009800853
0.000878,0.010137923
0.000879,-0.009800853
0.00088,-0.009800853
0.000881,0.020097106
0.000882,0.010137923
0.000883,-0.009800853
0.000884,-0.009800853
0.000885,0.020097106
0.000886,-0.009800853
0.000887,-0.009800853
0.000888,0.010137923
0.000889,-0.009800853
0.00089,-0.009800853
0.000891,0.030064453
0.000892,0.010137923
0.000893,-0.009800853
0.000894,0.020097106
0.000895,0.030064453
0.000896,0.000178739
0.000897,-0.009800853
0.000898,0.020097106
0.000899,0.010137923
0.0009,-0.009800853
0.000901,0.010137923
0.000902,-0.009800853
0.000903,-0.009800853
0.000904,0.000178739
0.000905,0.020097106
0.000906,0.010137923
0.000907,-0.009800853
0.000908,0.020097106
0.000909,0.010137923
0.00091,-0.009800853
0.000911,0.010137923
0.000912,0.010137923
0.000913,-0.009800853
0.000914,0.010137923
0.000915,0.020097106
0.000916,0.010137923
0.000917,-0.009800853
0.000918,0.000178739
0.000919,0.020097106
0.00092,-0.009800853
0.000921,0.010137923
0.000922,0.010137923
0.000923,-0.009800853
0.000924,-0.009800853
0.000925,0.020097106
0.000926,0.010137923
0.000927,-0.009800853
0.000928,0.000178739
0.000929,0.020097106
0.00093,-0.009800853
0.000931,0.010137923
0.000932,0.010137923
0.000933,-0.009800853
0.000934,0.000178739
0.000935,0.020097106
0.000936,0.010137923
0.000937,-0.009800853
0.000938,0.010137923
0.000939,0.020097106
0.00094,-0.009800853
0.000941,-0.009800853
0.000942,0.020097106
0.000943,0.010137923
0.000944,0.010137923
0.000945,0.010137923
0.000946,0.030064453
0.000947,-0.009800853
0.000948,-0.009800853
0.000949,0.020097106
0.00095,-0.009800853
0.000951,-0.009800853
0.000952,0.020097106
0.000953,-0.009800853
0.000954,0.010137923
0.000955,0.010137923
0.000956,0.030064453
0.000957,-0.009800853
0.000958,-0.009800853
0.000959,0.010137923
0.00096,-0.009800853
0.000961,-0.009800853
0.000962,0.010137923
0.000963,-0.009800853
0.000964,0.000178739
0.000965,0.020097106
0.000966,0.030064453
0.000967,-0.009800853
0.000968,0.010137923
0.000969,0.030064453
0.00097,-0.009800853
0.000971,-0.009800853
0.000972,0.020097106
0.000973,0.010137923
0.000974,-0.009800853
0.000975,0.000178739
0.000976,0.020097106
0.000977,0.010137923
0.000978,-0.009800853
0.000979,0.020097106
0.00098,-0.009800853
0.000981,-0.009800853
0.000982,0.020097106
0.000983,0.020097106
0.000984,-0.009800853
0.000985,0.000178739
0.000986,0.030064453
0.000987,-0.009800853
0.000988,-0.009800853
0.000989,0.020097106
0.00099,0.010137923
0.000991,-0.009800853
0.000992,0.020097106
0.000993,0.010137923
0.000994,-0.009800853
0.000995,0.000178739
0.000996,0.020097106
0.000997,0.000178739
0.000998,-0.009800853
0.000999,0.020097106
0.001,0.020097106
0.001001,-0.009800853
0.001002,0.020097106
0.001003,0.030064453
0.001004,0.010137923
0.001005,-0.009800853
0.001006,0.020097106
0.001007,0.020097106
0.001008,-0.019760037
0.001009,0.010137923
0.00101,0.010137923
0.001011,-0.009800853
0.001012,0.010137923
0.001013,-0.009800853
0.001014,-0.009800853
0.001015,0.010137923
0.001016,0.020097106
0.001017,0.020097106
0.001018,-0.009800853
0.001019,0.010137923
0.00102,0.010137923
0.001021,-0.009800853
0.001022,0.000178739
0.001023,0.020097106
0.001024,-0.009800853
0.001025,0.000178739
0.001026,0.020097106
0.001027,0.020097106
0.001028,-0.009800853
0.001029,0.010137923
0.00103,0.020097106
0.001031,-0.009800853
0.001032,0.000178739
0.001033,0.020097106
0.001034,-0.009800853
0.001035,-0.009800853
0.001036,0.010137923
0.001037,0.020097106
0.001038,-0.009800853
0.001039,0.000178739
0.00104,0.020097106
0.001041,-0.009800853
0.001042,0.000178739
0.001043,0.030064453
0.001044,-0.009800853
0.001045,-0.009800853
0.001046,0.010137923
0.001047,0.030064453
0.001048,0.000178739
0.001049,-0.009800853
0.00105,0.020097106
0.001051,-0.009800853
0.001052,-0.009800853
0.001053,0.020097106
0.001054,0.000178739
0.001055,-0.009800853
0.001056,0.000178739
0.001057,0.030064453
0.001058,-0.009800853
0.001059,0.000178739
0.00106,0.020097106
0.001061,0.010137923
0.001062,-0.009800853
0.001063,0.030064453
0.001064,0.010137923
0.001065,-0.009800853
0.001066,0.010137923
0.001067,0.030064453
0.001068,0.010137923
0.001069,-0.009800853
0.00107,0.020097106
0.001071,0.010137923
0.001072,-0.009800853
0.001073,0.010137923
0.001074,0.010137923
0.001075,-0.009800853
0.001076,0.010137923
0.001077,0.030064453
0.001078,0.000178739
0.001079,-0.009800853
0.00108,0.020097106
0.001081,0.010137923
0.001082,-0.009800853
0.001083,0.010137923
0.001084,-0.009800853
0.001085,-0.009800853
0.001086,-0.009800853
0.001087,0.020097106
0.001088,0.010137923
0.001089,-0.009800853
0.00109,0.020097106
0.001091,0.010137923
0.001092,-0.009800853
0.001093,0.020097106
0.001094,0.020097106
0.001095,-0.009800853
0.001096,0.010137923
0.001097,0.020097106
0.001098,0.010137923
0.001099,-0.009800853
0.0011,0.000178739
0.001101,0.020097106
0.001102,-0.009800853
0.001103,0.010137923
0.001104,0.020097106
0.001105,-0.009800853
0.001106,0.010137923
0.001107,0.020097106
0.001108,0.020097106
0.001109,-0.009800853
0.00111,0.010137923
0.001111,0.020097106
0.001112,-0.019760037
0.001113,0.010137923
0.001114,0.020097106
0.001115,-0.009800853
0.001116,0.000178739
0.001117,0.020097106
0.001118,0.010137923
0.001119,-0.009800853
0.00112,0.010137923
0.001121,0.020097106
0.001122,-0.009800853
0.001123,-0.009800853
0.001124,0.020097106
0.001125,-0.009800853
0.001126,0.010137923
0.001127,0.020097106
0.001128,0.030064453
0.001129,-0.009800853
0.00113,0.010137923
0.001131,0.030064453
0.001132,-0.009800853
0.001133,-0.009800853
0.001134,0.010137923
0.001135,-0.009800853
0.001136,-0.009800853
0.001137,0.010137923
0.001138,0.030064453
0.001139,-0.009800853
0.00114,0.010137923
0.001141,0.020097106
0.001142,-0.009800853
0.001143,-0.009800853
0.001144,0.030064453
0.001145,0.010137923
0.001146,-0.009800853
0.001147,0.010137923
0.001148,0.020097106
0.001149,0.000178739
0.00115,-0.009800853
0.001151,0.020097106
0.001152,-0.009800853
0.001153,-0.009800853
0.001154,0.020097106
0.001155,0.010137923
0.001156,-0.009800853
0.001157,0.010137923
0.001158,0.030064453
0.001159,0.010137923
0.00116,-0.009800853
0.001161,0.020097106
0.001162,-0.009800853
0.001163,-0.009800853
0.001164,0.020097106
0.001165,0.010137923
0.001166,-0.009800853
0.001167,0.000178739
0.001168,0.020097106
0.001169,0.000178739
0.00117,-0.009800853
0.001171,0.020097106
0.001172,0.010137923
0.001173,-0.009800853
0.001174,0.020097106
0.001175,0.010137923
0.001176,-0.009800853
0.001177,0.000178739
0.001178,0.030064453
0.001179,0.010137923
0.00118,-0.009800853
0.001181,0.020097106
0.001182,-0.009800853
0.001183,-0.009800853
0.001184,0.010137923
0.001185,0.010137923
0.001186,-0.009800853
0.001187,-0.009800853
0.001188,0.010137923
0.001189,0.010137923
0.00119,-0.009800853
0.001191,0.010137923
0.001192,0.020097106
0.001193,-0.009800853
0.001194,0.020097106
0.001195,0.020097106
0.001196,0.000178739
0.001197,-0.009800853
0.001198,0.010137923
0.001199,0.020097106
0.0012,-0.009800853
0.001201,0.010137923
0.001202,0.020097106
0.001203,-0.009800853
0.001204,0.000178739
0.001205,0.030064453
0.001206,0.000178739
0.001207,-0.009800853
0.001208,0.020097106
0.001209,0.020097106
0.00121,-0.009800853
0.001211,0.000178739
0.001212,0.010137923
0.001213,-0.009800853
0.001214,0.000178739
0.001215,0.020097106
0.001216,0.010137923
0.001217,-0.009800853
0.001218,0.020097106
0.001219,0.030064453
0.00122,-0.009800853
0.001221,0.010137923
0.001222,0.020097106
0.001223,-0.009800853
0.001224,0.010137923
0.001225,0.020097106
0.001226,0.000178739
0.001227,-0.009800853
